F20,F21,F22,F23,S21,S22,S23,S24
71,81.94,64.07,70.22,83.86,61.35,55.77,73.9
86.83,63.78,87.66,68.77,89.28,72.21,49.03,73.16
78.47,70.48,63.23,69.34,77.35,68.09,46.28,72.34
81.27,81.18,70.89,86.55,77.07,62.95,52.21,79.74
93.41,94.27,85.08,92.43,80.18,65.46,57.83,80.29
90.47,76.92,85.81,94.64,67.35,63.77,53.32,58.59
96.49,80.66,71.69,87.83,79.97,68.6,59.08,69.89
69.81,61.21,83.07,90.11,71.78,60.96,86.39,85.2
74.92,90.46,65.9,94.52,87.13,50.3,70.07,86.12
68.16,77.95,65.61,96.73,56.5,87.59,75.7,90.53
92.47,82.83,85.06,70.67,79.63,64.4,48.79,75.73
84.06,81.68,67.79,69.81,89.74,73.87,68.58,73.48
69.98,68.5,65.47,84.4,69.18,62.26,50.5,93.07
83.4,60.23,79.25,82.25,87.49,58.55,51.93,81.44
75.44,89.78,96.66,75.29,90.63,59,58.7,56.41
74.39,84.26,62.59,85.38,55.47,58.79,60.44,86.91
83.65,80.21,90.25,95.38,83.72,84.44,59.23,64.86
87.23,66.27,80.13,80.57,77.14,47.23,81.81,89.33
82.1,84.55,78.18,66.47,58.77,66.29,49.76,75.66
98.51,88.47,80.85,72.93,86.71,52.61,74.11,70.43
67,76,80.48,62.62,53.18,50.37,58.97,71.93
87.59,62.65,93.62,94.78,92.23,72.16,71.92,93.99
80.48,76.65,72.11,96.82,82.21,64.54,74.21,61.58
78.7,80.55,73.83,90.59,75.95,73.8,44.71,69.18
90.58,81.88,62.76,92.22,62.75,55.49,47.56,53.94
95.82,73.16,92.69,71.11,80.91,55.65,63.51,81.07
80.76,74.98,68.61,65.24,86.45,80.19,68.75,56.97
94.28,65.54,84.16,65.64,66.28,66.39,57.04,95.24
78.3,86.52,92.74,91.37,88.17,73.56,80.36,82.65
68.73,87.01,73.08,63.04,90.01,48.39,68.28,70.69
77.32,62.53,94.41,73.42,56.82,48.08,81.63,85.15
73.78,71.37,90.13,90.27,84.18,56.54,82.89,73.44
80.17,87.17,84.49,88.21,66.77,73.48,86.27,84.58
85.17,63.35,82.61,82.61,73.08,58.31,82.49,56.41
91.11,60.35,84.32,84.38,88.29,57.78,71.91,67.33
88.75,74.09,94.9,86.71,85.56,56.55,64.87,68.16
85.42,68.12,63.74,90.22,80.55,71.83,70.37,69.42
92.8,89.67,92.7,62.66,82.14,87.81,62.93,61.71
74.6,91.72,90.8,70.4,67.1,59.69,64.83,89.9
70.75,73.22,75.67,77.11,52.49,83.91,55.36,61.56
67.22,90.61,94.61,79.33,83.45,59.65,57.9,91.67
97.39,65.54,97.64,83.24,80.74,59.36,88.99,63.3
73.12,84.76,87.4,64.36,80.04,52.98,66.81,82.44
73.12,85.64,64.92,81.97,70.25,61.11,78.05,91.83
83.13,59.88,67.65,70.55,67.06,54.2,64.91,85.54
78.69,75.23,94.73,92.8,91.57,67.11,70.54,77.09
74.35,76.94,71.03,92.36,57.12,75.01,54.85,70.32
90.86,85.35,85.32,93.6,82.93,48.37,69.48,89.46
92.15,67.45,68.29,66.82,60.37,60.66,75.51,91.28
70.04,89.66,80.95,84.72,85.71,75.54,71.71,76.01
72.7,62.81,94.29,86.89,69.85,67.67,53.53,84.06
75.32,59.23,66.28,75.44,63.94,83.4,56.44,61.24
77.84,65.88,63,91.94,58.3,69.99,38,58.19
70.21,74.17,90.77,68.05,42.67,63.71,47.76,59
63.35,59.05,98.87,63.15,58.52,54,54.91,68
82.32,67.11,89.35,76.09,38.14,52.7,49.31,52.56
92.04,78.68,80.92,81.19,0,49,55.88,69.2
81.48,79.17,91.25,92.11,0,40.44,12.06,47
86.83,90.41,95.05,73.3,,52,0,49.14
75.91,94.82,90.61,79,,46.72,0,55
67.19,71.58,62.3,73.45,,13.47,0,65.41
82.16,92.64,69.44,74.22,,0,,48.22
72.96,83.3,70.05,67.83,,0,,56.71
93.81,68.57,95.91,94.61,,,,61.03
62.66,69.33,86.15,74.22,,,,0
88.93,78.74,87.29,85.08,,,,
69.95,60.33,97.42,65.03,,,,
11.82,84.98,79.48,95.93,,,,
21.44,90.09,29.8,77.48,,,,
9,67.38,42.77,94.21,,,,
24.65,62.84,51.69,91.48,,,,
4.35,40,62,85.31,,,,
0,52.14,40.14,54,,,,
0,37,22,47.21,,,,
,49.67,0,44.16,,,,
,0,,45,,,,
,0,,29,,,,
