F20,F21,F22,F23,S21,S22,S23,S24
4.26,3.71,3.39,4.41,3.5,2.67,3.35,2.67
4.21,3.75,4.44,4.43,3.17,2.59,3.63,2.76
4.19,3.4,3.96,5,3.07,1.24,3.52,2.97
4.47,3.53,3.71,4.53,2.93,2.71,3.76,3.4
4.32,3.35,4.59,3.76,2.78,3.31,4.5,2.73
4,4.01,4.48,4.96,3.11,3.52,3.45,2.68
3.78,4.09,3.63,4.94,2.78,3.2,3.36,2.82
4.04,3.4,3.28,4.7,3.45,3.5,4.65,3.17
3.87,3.5,3.56,4.08,3.36,3.16,4.59,3.07
4.4,3.55,4.06,3.77,3.04,3.55,4.68,3.71
4.34,3.58,4.74,3.75,3.34,3.1,4.72,2.75
4.31,3.61,3.48,4.69,3.13,2.98,3.87,2.84
4.49,3.6,4.31,4.28,2.82,3.25,4.71,3.43
3.91,3.79,4.34,4.07,3.43,2.56,4.19,3.34
4.18,4.21,4.53,3.76,2.96,2.8,3.59,3.43
4.27,3.36,4.53,4.68,3.13,3.26,3.7,3.02
4.17,4.14,4.4,4.43,3.02,2.94,3.89,3.3
4.02,4.07,4.3,3.8,3.3,2.79,3.33,3.17
4.14,4.1,4.29,3.94,3.18,3.5,4.17,2.84
4.32,3.61,4.62,4.16,2.83,2.92,4.21,2.68
4.13,3.77,3.6,4.44,3.16,3.6,3.48,3.22
3.96,3.64,4.21,4.86,2.79,3.27,4.64,3.26
3.83,4,4.3,1.73,2.89,3.05,4.08,3.3
4.41,4.14,3.41,4.5,3.24,2.62,3.03,2.97
4.17,3.43,4.62,4.29,3.14,3.52,4.04,2.85
4.26,4.15,4.46,4.75,3.44,3.42,4.7,3.42
4.3,3.67,3.75,3.95,3.13,3.12,4.64,3.42
3.83,3.95,4.35,4.39,3.45,2.64,4.17,3.4
4.14,3.97,3.37,4.38,2.79,3.13,3.39,3.1
3.99,3.99,3.85,4.51,3.13,3,3.8,3.09
4.31,4.22,4.59,3.92,3.12,0.87,3.6,3.14
4.49,3.64,4.14,3.81,3.38,3.07,3.39,2.8
4.48,4.07,3.29,4.98,3.32,2.69,4.53,3.22
4.25,3.65,4.44,4.13,2.83,3.18,4.45,2.7
3.98,3.94,3.35,4.59,2.96,3.5,3.63,3.35
3.96,3.95,3.79,4.53,3.44,3.11,3.41,2.64
3.88,3.62,3.82,4.97,3.31,2.65,3.5,2.82
3.77,3.55,3.34,3.9,3.49,3.56,3.8,3.05
4.42,4.07,3.83,4.53,3.26,2.56,3.59,2.85
4.02,3.99,4.12,4.82,3.34,3.61,3.46,2.65
4.32,3.39,3.86,4.76,3.21,2.84,3.35,3.06
4.12,4.25,3.95,3.96,2.97,1.96,3.71,3
3.81,3.73,4.31,4.71,2.99,3.13,4.16,3.36
4.35,3.72,3.78,4.88,3.39,3.02,3.77,2.66
4.06,3.74,3.77,4.41,3.05,2.81,4.66,3.22
3.8,3.52,3.77,4.96,3.41,3.05,4.13,3.03
4.03,3.59,3.65,4.81,3.41,3.22,4.65,2.87
3.84,3.87,3.5,4.93,3.35,3.27,4.22,3.19
4.49,4.21,4.62,4.04,2.92,2.81,4.24,3.39
3.96,3.54,3.65,4.79,3.34,3.47,3.25,2.74
4,3.49,3.57,4.94,3.02,3.52,3.95,3.28
4.01,3.36,3.88,4.92,2.75,3.41,4.13,3.19
4.11,3.41,4.66,4.63,3.12,2.8,3.25,2.86
4.46,3.85,4.23,4.57,2.78,3.63,3.45,3.17
4.36,3.69,4.17,4.74,3.14,3.03,4.73,2.96
4.12,3.51,4.06,4.39,2.97,3.56,4.63,3.08
4.33,3.95,3.29,4.99,3.5,3.27,3.39,3.12
3.84,4.04,4.53,4.78,3.07,3.04,3.56,1.88
3.85,4.57,3.54,4.05,3.11,3.31,4.05,3.11
4.42,3.75,3.53,4,3.13,3.58,4.06,3.44
3.84,3.49,3.89,4.3,3,3.32,3.75,3.09
4.35,3.56,3.78,4.78,3.07,2.59,3.68,2.72
3.89,3.45,4.21,4.98,2.93,3.25,3.34,3.42
4.45,3.65,3.45,4.96,3.19,3.08,3.37,3.03
4.48,3.97,4.53,3.94,3.45,3.05,4.05,3.08
3.92,3.63,3.4,4.4,3.33,3.19,4.41,2.96
4.09,3.87,4.3,2.79,3.33,2.63,3.54,4.23
4.35,3.76,3.8,4.36,2.76,3.33,4.28,3.21
4.03,3.91,3.5,4.44,2.75,3.62,3.53,3.18
4.33,3.78,4.04,4.3,,3.17,3.89,3.44
4.32,4.11,4.17,4.54,,3.28,4.73,3.36
4.35,3.66,3.96,4.12,,3.23,4.16,3.15
4.1,1.69,3.33,4.31,,2.82,,4.07
4.14,3.8,3.78,4,,3.56,,2.81
3.95,3.92,4.53,4.02,,,,2.7
3.93,4.1,3.57,4.49,,,,2.82
4.19,3.58,3.42,4.98,,,,2.97
4.44,3.76,3.69,4.1,,,,
4.33,3.94,3.82,4.22,,,,
4,3.38,3.37,4.85,,,,
4.35,3.44,3.73,4.84,,,,
4.02,3.46,4.66,4.44,,,,
4.09,4.13,4.19,3.96,,,,
4.28,3.6,4.14,4.58,,,,
,3.87,3.59,4.24,,,,
,3.9,,4.91,,,,
,3.51,,4.53,,,,
,,,4.81,,,,
,,,4.73,,,,
